frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
89	2.966667	163297944871333	163297945089083	catransaction-completed	163297944864500	0
90	3.000000	163297978183958	163297978426791	catransaction-completed	163297978169083	0
91	3.033333	163298011495708	163298011633166	catransaction-completed	163298011488041	0
92	3.066667	163298044815500	163298044906333	catransaction-completed	163298044809083	0
93	3.100000	163298078138375	163298078211708	catransaction-completed	163298078133250	0
94	3.133333	163298111470541	163298111533750	catransaction-completed	163298111465916	0
95	3.166667	163298144802833	163298144887666	catransaction-completed	163298144795500	0
96	3.200000	163298178145250	163298178236916	catransaction-completed	163298178142458	0
97	3.233333	163298211466666	163298211562916	catransaction-completed	163298211463041	0
98	3.266667	163298244808791	163298244878666	catransaction-completed	163298244804041	0
99	3.300000	163298278131666	163298278188000	catransaction-completed	163298278128458	0
100	3.333333	163298311475041	163298311560000	catransaction-completed	163298311470583	0
101	3.366667	163298344812625	163298344901500	catransaction-completed	163298344809375	0
102	3.400000	163298378148083	163298378235250	catransaction-completed	163298378143750	0
103	3.433333	163298411482375	163298411558083	catransaction-completed	163298411477375	0
104	3.466667	163298444813041	163298444892458	catransaction-completed	163298444810250	0
105	3.500000	163298478143458	163298478233916	catransaction-completed	163298478140208	0
106	3.533333	163298511474000	163298511558875	catransaction-completed	163298511471333	0
107	3.566667	163298544799583	163298544859166	catransaction-completed	163298544797666	0
108	3.600000	163298578140166	163298578215708	catransaction-completed	163298578136458	0
109	3.633333	163298611469166	163298611538083	catransaction-completed	163298611466708	0
110	3.666667	163298644811666	163298644900458	catransaction-completed	163298644806541	0
111	3.700000	163298678158708	163298678307541	catransaction-completed	163298678146375	0
112	3.733333	163298711496958	163298711709375	catransaction-completed	163298711480333	0
113	3.766667	163298744804875	163298744947625	catransaction-completed	163298744797125	0
114	3.800000	163298778168416	163298778257000	catransaction-completed	163298778161875	0
115	3.833333	163298811473666	163298811654375	catransaction-completed	163298811460708	0
116	3.866667	163298844834416	163298845108750	catransaction-completed	163298844817750	0
117	3.900000	163298878143000	163298878226166	catransaction-completed	163298878138458	0
118	3.933333	163298911484541	163298911575250	catransaction-completed	163298911480583	0
