frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
93	3.100000	163235807733500	163235832020958	drawable-presented	163235807550916	0
94	3.133333	163235849283375	163235873687708	drawable-presented	163235849201708	0
95	3.166667	163235882884458	163235907021041	drawable-presented	163235882564750	0
96	3.200000	163235916044125	163235932021041	drawable-presented	163235915893666	0
97	3.233333	163235941012250	163235965354458	drawable-presented	163235940878833	0
98	3.266667	163235974274666	163235998687875	drawable-presented	163235974216958	0
99	3.300000	163236015963333	163236040354541	drawable-presented	163236015880125	0
100	3.333333	163236049267250	163236073687958	drawable-presented	163236049208583	0
101	3.366667	163236082593333	163236107021333	drawable-presented	163236082534750	0
102	3.400000	163236115894333	163236140354666	drawable-presented	163236115860875	0
103	3.433333	163236149262541	163236173688083	drawable-presented	163236149194958	0
104	3.466667	163236182628791	163236207021458	drawable-presented	163236182545416	0
105	3.500000	163236215916750	163236240354833	drawable-presented	163236215878083	0
106	3.533333	163236240931875	163236265354875	drawable-presented	163236240884208	0
107	3.566667	163236282628125	163236307021625	drawable-presented	163236282550041	0
108	3.600000	163236307705375	163236332021625	drawable-presented	163236307546041	0
109	3.633333	163236349398250	163236373688333	drawable-presented	163236349227208	0
110	3.666667	163236383077125	163236407021750	drawable-presented	163236382737458	0
111	3.700000	163236407951583	163236432021791	drawable-presented	163236407654750	0
112	3.733333	163236441138833	163236465355125	drawable-presented	163236440935083	0
113	3.766667	163236483131916	163236507021833	drawable-presented	163236482615583	0
114	3.800000	163236507707583	163236532021958	drawable-presented	163236507574541	0
115	3.833333	163236549257250	163236573688708	drawable-presented	163236549203583	0
116	3.866667	163236574538916	163236598688750	drawable-presented	163236574218791	0
117	3.900000	163236608031166	163236632022041	drawable-presented	163236607611625	0
118	3.933333	163236641118875	163236665355416	drawable-presented	163236640890125	0
119	3.966667	163236674477416	163236698688875	drawable-presented	163236674283000	0
120	4.000000	163236707722583	163236732022208	drawable-presented	163236707562166	0
121	4.033333	163236741054041	163236765355583	drawable-presented	163236740892458	0
