frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
0	0.000000	162877513460916	162877517802666	consumed-notification	162877530075000	162877517805416
1	0.033333	162877514633375	162877517853500	consumed-notification	162877570204958	162877517856083
2	0.066667	162877518053875	162877518096875	consumed-notification	162877603534000	162877518098000
3	0.100000	162877518172583	162877518209708	consumed-notification	162877636874083	162877518211666
4	0.133333	162877518291500	162877549624208	consumed-notification	162877670217583	162877549627625
5	0.166667	162877549146750	162877549746000	consumed-notification	162877703533625	162877549747791
6	0.200000	162877549756416	162877605432958	consumed-notification	162877736860041	162877605437041
7	0.233333	162877605468250	162877642822666	consumed-notification	162877770192833	162877642826500
8	0.266667	162877642766958	162877642945625	consumed-notification	162877803532500	162877642948166
9	0.300000	162877642936250	162877643043625	consumed-notification	162877836867958	162877643044958
10	0.333333	162877643085291	162877736504208	consumed-notification	162877870202791	162877736508666
11	0.366667	162877736442916	162877736542375	consumed-notification	162877903526083	162877736553500
12	0.400000	162877736652416	162877792362250	consumed-notification	162877936862708	162877792366541
13	0.433333	162877792511166	162877830126250	consumed-notification	162877970201708	162877830129833
14	0.466667	162877830102458	162877830344916	consumed-notification	162878003533500	162877830347125
15	0.500000	162877830294875	162877830377000	consumed-notification	162878036858458	162877830377958
16	0.533333	162877832095875	162877938692666	consumed-notification	162878070190666	162877938697208
17	0.566667	162877938824083	162877976374250	consumed-notification	162878103520750	162877976377708
18	0.600000	162877976262416	162877976403708	consumed-notification	162878136854791	162877976404708
19	0.633333	162877976524541	162878031206541	consumed-notification	162878170184000	162878031210291
20	0.666667	162878030922750	162878031235125	consumed-notification	162878203520000	162878031236500
21	0.700000	162878031290625	162878105652583	consumed-notification	162878236866208	162878105655583
22	0.733333	162878105745708	162878143084916	consumed-notification	162878270182958	162878143088750
23	0.766667	162878143209125	162878161800666	consumed-notification	162878303515875	162878161803958
24	0.800000	162878161917791	162878199239166	consumed-notification	162878336852166	162878199242833
25	0.833333	162878199327875	162878236672791	consumed-notification	162878370190875	162878236676583
26	0.866667	162878236769875	162878274111666	consumed-notification	162878403525833	162878274115333
27	0.900000	162878274212708	162878292829208	consumed-notification	162878436850333	162878292832583
28	0.933333	162878292929333	162878329161458	consumed-notification	162878470202250	162878329166000
29	0.966667	162878329276458	162878366591416	consumed-notification	162878503521083	162878366595208
30	1.000000	162878366737708	162878403981291	consumed-notification	162878536859000	162878403985416
31	1.033333	162878404089458	162878441195500	consumed-notification	162878570181875	162878441200500
32	1.066667	162878441291083	162878458130458	consumed-notification	162878603516583	162878458132500
33	1.100000	162878458239416	162878495601916	consumed-notification	162878636847958	162878495606625
34	1.133333	162878495717791	162878533030833	consumed-notification	162878670184375	162878533033750
35	1.166667	162878533148416	162878570446333	consumed-notification	162878703523083	162878570449000
36	1.200000	162878570551375	162878607861291	consumed-notification	162878736861791	162878607864583
37	1.233333	162878607965916	162878626557458	consumed-notification	162878770189250	162878626560708
38	1.266667	162878626644666	162878663981083	consumed-notification	162878803515041	162878663984916
39	1.300000	162878664118666	162878701394041	consumed-notification	162878836852041	162878701397375
40	1.333333	162878701515791	162878738811666	consumed-notification	162878870182958	162878738814458
41	1.366667	162878738987416	162878774666250	consumed-notification	162878903514625	162878774670125
42	1.400000	162878774760375	162878793368625	consumed-notification	162878936861500	162878793371666
43	1.433333	162878793476208	162878830782500	consumed-notification	162878970188625	162878830785958
44	1.466667	162878830895208	162878868217666	consumed-notification	162879003516000	162878868220875
45	1.500000	162878868302625	162878905693916	consumed-notification	162879036854541	162878905699250
46	1.533333	162878905830583	162878924360291	consumed-notification	162879070209375	162878924364125
47	1.566667	162878924456916	162878961769458	consumed-notification	162879103515208	162878961772625
48	1.600000	162878961864791	162878998184875	consumed-notification	162879136854708	162878998190083
49	1.633333	162878998285916	162879035611500	consumed-notification	162879170198375	162879035614958
50	1.666667	162879035714666	162879072750541	consumed-notification	162879203519416	162879072754333
51	1.700000	162879072868291	162879091473708	consumed-notification	162879236851708	162879091477500
52	1.733333	162879091574000	162879128910916	consumed-notification	162879270191041	162879128914833
53	1.766667	162879129012375	162879166373458	consumed-notification	162879303522458	162879166377583
54	1.800000	162879166497125	162879203798708	consumed-notification	162879336871958	162879203802750
55	1.833333	162879203920041	162879241198958	consumed-notification	162879370186750	162879241202125
56	1.866667	162879241313208	162879259938875	consumed-notification	162879403519291	162879259942166
57	1.900000	162879260116416	162879297375791	consumed-notification	162879436862875	162879297379958
58	1.933333	162879297535333	162879334817250	consumed-notification	162879470194541	162879334822083
59	1.966667	162879334926000	162879372264083	consumed-notification	162879503523583	162879372267875
60	2.000000	162879372408041	162879390973291	consumed-notification	162879536862125	162879390976291
61	2.033333	162879391108416	162879428435208	consumed-notification	162879570179208	162879428439958
62	2.066667	162879428542416	162879465399083	consumed-notification	162879603514875	162879465403291
63	2.100000	162879465494958	162879501282458	consumed-notification	162879636859416	162879501285500
64	2.133333	162879501385416	162879538687458	consumed-notification	162879670190125	162879538690750
65	2.166667	162879538781000	162879576126958	consumed-notification	162879703526625	162879576129750
66	2.200000	162879576284916	162879594596125	consumed-notification	162879736864958	162879594599125
67	2.233333	162879594682125	162879632044875	consumed-notification	162879770189458	162879632048875
68	2.266667	162879632162041	162879669132833	consumed-notification	162879803514458	162879669137375
69	2.300000	162879669292708	162879706569291	consumed-notification	162879836849875	162879706572458
70	2.333333	162879706669750	162879725320125	consumed-notification	162879870182625	162879725324500
71	2.366667	162879725463958	162879762777333	consumed-notification	162879903511833	162879762781458
72	2.400000	162879762952625	162879800211000	consumed-notification	162879936869416	162879800214958
73	2.433333	162879800299000	162879837646250	consumed-notification	162879970181875	162879837649166
74	2.466667	162879837759041	162879873605791	consumed-notification	162880003512791	162879873609708
75	2.500000	162879873745958	162879892336125	consumed-notification	162880036859125	162879892340041
76	2.533333	162879892434333	162879929766500	consumed-notification	162880070201000	162879929769875
77	2.566667	162879929851083	162879965388166	consumed-notification	162880103532083	162879965392208
78	2.600000	162879965502375	162880002830541	consumed-notification	162880136858916	162880002834208
79	2.633333	162880002948333	162880040230583	consumed-notification	162880170181875	162880040233666
80	2.666667	162880040334208	162880058943458	consumed-notification	162880203521541	162880058946416
81	2.700000	162880059048333	162880096411833	consumed-notification	162880236855041	162880096415875
82	2.733333	162880096490791	162880133821583	consumed-notification	162880270190875	162880133825291
83	2.766667	162880133935208	162880171278833	consumed-notification	162880303512375	162880171282333
84	2.800000	162880171370250	162880208717333	consumed-notification	162880336846458	162880208720041
85	2.833333	162880208835541	162880227467166	consumed-notification	162880370188208	162880227471041
86	2.866667	162880227583666	162880263416125	consumed-notification	162880403515500	162880263419250
87	2.900000	162880263527916	162880300847291	consumed-notification	162880436849541	162880300851708
88	2.933333	162880300970625	162880338304041	consumed-notification	162880470191500	162880338308208
89	2.966667	162880338383250	162880375722208	consumed-notification	162880503514250	162880375725750
90	3.000000	162880375836791	162880394447916	consumed-notification	162880536864250	162880394451791
91	3.033333	162880394534041	162880431858083	consumed-notification	162880570181916	162880431861625
92	3.066667	162880431943125	162880469033791	consumed-notification	162880603512125	162880469037791
93	3.100000	162880469116333	162880505657041	consumed-notification	162880637168666	162880505660916
94	3.133333	162880505762208	162880543104291	consumed-notification	162880670188958	162880543108291
95	3.166667	162880543194041	162880561797208	consumed-notification	162880703512541	162880561800041
96	3.200000	162880561894500	162880599210583	consumed-notification	162880736856000	162880599214208
97	3.233333	162880599298500	162880636668208	consumed-notification	162880770181833	162880636671958
98	3.266667	162880636799791	162880674115125	consumed-notification	162880803530791	162880674119208
99	3.300000	162880674215208	162880692837416	consumed-notification	162880836844833	162880692840791
100	3.333333	162880693001833	162880730305833	consumed-notification	162880870179250	162880730309000
101	3.366667	162880730411083	162880767756416	consumed-notification	162880903506666	162880767760500
102	3.400000	162880767854666	162880805210416	consumed-notification	162880936861250	162880805214083
103	3.433333	162880805303958	162880841658250	consumed-notification	162880970178250	162880841660875
104	3.466667	162880841771166	162880860356916	consumed-notification	162881003521041	162880860359791
105	3.500000	162880860466291	162880897796375	consumed-notification	162881036840541	162880897799708
106	3.533333	162880897866416	162880935229666	consumed-notification	162881070183875	162880935232583
107	3.566667	162880935351333	162880972667958	consumed-notification	162881103536000	162880972671833
108	3.600000	162880972755291	162880991379666	consumed-notification	162881136840291	162880991382666
109	3.633333	162880991484833	162881028799583	consumed-notification	162881170182041	162881028803416
110	3.666667	162881028898000	162881066229750	consumed-notification	162881203513083	162881066232791
111	3.700000	162881066325666	162881103690083	consumed-notification	162881236854541	162881103693958
112	3.733333	162881103804125	162881141097041	consumed-notification	162881270201458	162881141100916
113	3.766667	162881141198250	162881159828875	consumed-notification	162881303958333	162881159832666
114	3.800000	162881159924125	162881196082916	consumed-notification	162881336849583	162881196086916
115	3.833333	162881196201958	162881233524625	consumed-notification	162881370181375	162881233528541
116	3.866667	162881233662875	162881270969375	consumed-notification	162881403517166	162881270973541
117	3.900000	162881271140041	162881306536250	consumed-notification	162881436847000	162881306539666
118	3.933333	162881306651375	162881325266833	consumed-notification	162881470193666	162881325270291
119	3.966667	162881325377208	162881360745250	consumed-notification	162881503516541	162881360749291
120	4.000000	162881360828375	162881397886208	consumed-notification	162881536851083	162881397890166
121	4.033333	162881397995916	162881435299541	consumed-notification	162881570184833	162881435305833
122	4.066667	162881435432291	162881472750041	consumed-notification	162881603516958	162881472753916
123	4.100000	162881472858083	162881491452458	consumed-notification	162881636844458	162881491456041
124	4.133333	162881491554333	162881528906916	consumed-notification	162881670185500	162881528910250
125	4.166667	162881529033250	162881566288916	consumed-notification	162881703515875	162881566291500
126	4.200000	162881566378958	162881601878625	consumed-notification	162881736845166	162881601883583
127	4.233333	162881602019041	162881639282083	consumed-notification	162881770179458	162881639285333
128	4.266667	162881639403833	162881657993541	consumed-notification	162881803861000	162881657996500
129	4.300000	162881658081833	162881695453750	consumed-notification	162881836846291	162881695457250
130	4.333333	162881695546541	162881732869291	consumed-notification	162881870174958	162881732872291
131	4.366667	162881732953458	162881770272958	consumed-notification	162881903505208	162881770275250
